STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-04-2010,17,1633,1609,0,0,0,,71,47,310,310,0,34.9,46.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-04-2010,7.61,1511,1513,0,0,0,,74,50,170,180,0,17.9,21.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-05-2010,7.16,1939,1925,0,0,0,,80,54,180,190,0,19.9,23,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-05-2010,5.14,1240,1240,0,0,0,,75,58,200,200,0,13,15,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-05-2010,7.83,1501,1501,0.67,0,0,,80,61,310,310,0,23,29.1,1,1,,,1,,,,1,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-05-2010,9.17,1603,1533,0.01,0,0,,81,58,320,290,0,34.9,42.9,,,,,,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-05-2010,11.63,1545,1637,0,0,0,,75,54,190,200,0,25.1,33.1,,,,,,,,,1,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-05-2010,15.88,1547,2224,0,0,0,,80,54,270,330,0,28,36,,1,,,,,,,1,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-05-2010,14.09,55,53,0,0,0,,68,53,330,330,0,23.9,30,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-05-2010,18.79,1753,2129,0,0,0,,78,51,270,270,0,40,51.9,1,,,,1,,,1,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-05-2010,24.38,713,712,0,0,0,,56,45,310,320,0,36.9,45,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-05-2010,17.45,1748,1612,0,0,0,,62,42,320,310,0,28,34.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-05-2010,8.95,2051,1351,0.02,0,0,,57,43,200,10,0,16.1,17.9,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-05-2010,10.07,644,644,0.32,0,0,,49,45,120,120,0,17.9,23.9,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-05-2010,11.41,2037,2045,0,0,0,,63,43,200,200,0,21,25.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-05-2010,10.74,949,948,0,0,0,,77,52,300,300,0,21,25.1,,,1,,,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-05-2010,14.76,715,714,0,0,0,,75,60,330,330,0,30,36.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-05-2010,8.72,1708,1536,0,0,0,,74,55,360,330,0,19.9,30,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-05-2010,6.04,1213,1445,0,0,0,,75,52,210,210,0,14.1,15,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-05-2010,11.18,1850,1926,0.9,0,0,,59,51,50,50,0,23.9,32,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-05-2010,10.29,1051,1047,0,0,0,,67,51,310,20,0,17,23.9,1,,,,,,,,,,1,1,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-05-2010,6.26,1647,1644,0,0,0,,72,55,200,200,0,15,17,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-05-2010,6.93,1501,1738,0,0,0,,85,58,130,190,0,17,28,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-05-2010,8.28,2323,2312,0,0,0,,70,58,110,100,0,15,19.9,1,,,,,,,1,,,,,,,,,,,
